Disease,Diet
Fever,"['Hydrating Diet', 'Cooling Foods', 'Light Meals', 'Fresh Fruits', 'Clear Broths']"
Headache,"['Hydration', 'Magnesium-Rich Foods', 'Low-Caffeine Diet', 'Balanced Diet', 'Fresh Produce']"
Muscle Fatigue,"['Electrolyte-Rich Diet', 'High-Protein Foods', 'Complex Carbohydrates', 'Hydration', 'Vitamin-Rich Foods']"
Flu,"['Hydrating Diet', 'Immune-Boosting Foods', 'Light Meals', 'Fresh Fruits', 'Warm Broths']"
Food Poisoning,"['BRAT Diet', 'Clear Liquids', 'Oral Rehydration Solutions', 'Easily Digestible Foods', 'Probiotic Foods']"
COVID-Like Illness,"['Hydrating Diet', 'Immune-Boosting Foods', 'Light Meals', 'Fresh Fruits', 'Warm Broths']"
Sinusitis,"['Anti-Inflammatory Diet', 'Hydration', 'Warm Broths', 'Fresh Fruits', 'Herbal Teas']"
Allergic Rhinitis,"['Elimination Diet', 'Omega-3-rich Foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']"
Strep Throat,"['Soft Diet', 'Warm Liquids', 'Cooling Foods', 'Hydration', 'Vitamin C-Rich Foods']"
Tonsillitis,"['Soft Diet', 'Cooling Foods', 'Hydration', 'Warm Broths', 'Honey-Lemon Tea']"
Anemia,"['Iron-Rich Diet', 'Vitamin C-Rich Foods', 'Folate-Rich Foods', 'B12-Rich Foods', 'Protein-Rich Foods']"
Bronchitis,"['Anti-Inflammatory Diet', 'Hydration', 'Warm Broths', 'Fresh Fruits', 'Herbal Teas']"
Dehydration,"['Hydrating Diet', 'Oral Rehydration Solutions', 'Electrolyte-Rich Foods', 'Clear Liquids', 'Fresh Juices']"
Heat Exhaustion,"['Hydrating Diet', 'Oral Rehydration Solutions', 'Electrolyte-Rich Foods', 'Light Meals', 'Fresh Fruits']"
Insomnia,"['Magnesium-Rich Foods', 'Herbal Teas', 'Light Meals', 'Low-Caffeine Diet', 'Tryptophan-Rich Foods']"
Anxiety Disorder,"['Balanced Diet', 'Omega-3-rich Foods', 'Magnesium-Rich Foods', 'Anti-Inflammatory Foods', 'Whole Grains']"
Food Allergy,"['Elimination Diet', 'Omega-3-rich Foods', 'Vitamin C-Rich Foods', 'Quercetin-rich Foods', 'Probiotics']"
Lactose Intolerance,"['Lactose-Free Diet', 'Calcium-Rich Foods', 'Probiotic Foods', 'Alternative Milks', 'Low-Fat Foods']"
Acid Reflux,"['Low-Acid Diet', 'Fiber-rich Foods', 'Ginger', 'Licorice', 'Aloe vera juice']"
