Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Urinary Tract Infection,Drink Plenty Of Water,Urinate Frequently,Maintain Good Hygiene,Seek Medical Advice If Needed
Psoriasis,Moisturize Skin Regularly,Avoid Known Triggers,Maintain A Healthy Diet,Follow Medical Advice
Impetigo,Keep Infected Area Clean,Avoid Touching Lesions,Practice Good Hand Hygiene,Complete Antibiotic Course
Fever,Stay Hydrated,Rest Adequately,Take Fever Reducers,Monitor Temperature Regularly
Headache,Rest In A Quiet Room,Stay Hydrated,Avoid Trigger Foods,Take Prescribed Medication
Muscle Fatigue,Get Adequate Rest,Maintain Balanced Diet,Exercise Moderately,Avoid Overexertion
Flu,Get Vaccinated Annually,Stay Home When Sick,Wash Hands Frequently,Rest And Recover
Food Poisoning,Stay Hydrated,Avoid Solid Foods Initially,Rest And Recover,Seek Medical Help If Severe
COVID-Like Illness,Self-Isolate When Unwell,Wear Face Mask,Practice Social Distancing,Seek Testing And Medical Advice
Sinusitis,Use Saline Nasal Rinse,Stay Hydrated,Avoid Allergens,Consult ENT Specialist
Allergic Rhinitis,Avoid Known Allergens,Use Nasal Corticosteroids,Maintain Clean Environment,Consult Specialist Regularly
Strep Throat,Avoid Sharing Utensils,Gargle Warm Salt Water,Cover Mouth When Coughing,Complete Antibiotic Course
Tonsillitis,Gargle With Warm Salt Water,Maintain Hydration,Rest Adequately,Follow Medical Advice
Anemia,Increase Iron Intake,Consume Vitamin C Rich Foods,Take Iron Supplements,Monitor Hemoglobin Levels
Bronchitis,Avoid Smoking,Stay Hydrated,Use Masks In Polluted Areas,Rest And Recover
Dehydration,Increase Fluid Intake,Monitor Urine Output,Consume Oral Rehydration Solutions,Avoid Excessive Heat Exposure
Heat Exhaustion,Rest In A Cool Area,Rehydrate Immediately,Avoid Strenuous Activity,Monitor Body Temperature
Insomnia,Maintain Regular Sleep Schedule,Avoid Caffeine Before Bed,Create A Calm Environment,Limit Screen Time
Anxiety Disorder,Practice Relaxation Techniques,Engage In Regular Exercise,Seek Professional Support,Avoid Stressful Situations
Food Allergy,Avoid Allergen Exposure,Carry Emergency Medication,Read Food Labels Carefully,Consult Allergy Specialist
Lactose Intolerance,Avoid Dairy Products,Opt For Lactose-Free Alternatives,Read Food Labels,Monitor Symptoms Closely
Acid Reflux,Avoid Trigger Foods,Eat Small Meals,Don’t Lie Down Immediately,Maintain Upright Posture
