Disease,Description
Heart Attack,"A heart attack occurs when blood flow to part of the heart is blocked, causing chest pain and potential heart damage."
Varicose Veins,"Varicose veins are swollen, twisted veins commonly found in the legs due to faulty valve function."
Hypothyroidism,"Hypothyroidism is when the thyroid gland does not produce enough hormones, often resulting in fatigue and weight gain."
Hyperthyroidism,"Hyperthyroidism occurs when the thyroid gland produces too much hormone, leading to weight loss, rapid heartbeat, and anxiety."
Hypoglycemia,"Hypoglycemia is a condition characterized by abnormally low blood sugar levels, which can cause shaking, sweating, and confusion."
Osteoarthritis,"Osteoarthritis is a joint disorder caused by the breakdown of joint cartilage, leading to pain and stiffness."
Arthritis,"Arthritis is a general term for inflammation of the joints that causes pain, swelling, and reduced mobility."
Paroxysmal Positional Vertigo,"Paroxysmal positional vertigo causes brief episodes of dizziness triggered by changes in head position."
Acne,"Acne is a common skin condition marked by pimples, blackheads, and sometimes cysts, usually on the face and back."
Urinary Tract Infection,"Urinary tract infection is an infection in any part of the urinary system."
Psoriasis,"Psoriasis is a chronic autoimmune skin condition that causes red, scaly patches on the skin."
Impetigo,"Impetigo is a contagious bacterial skin infection that often causes red sores which can burst and form honey-colored crusts."
Fever,"Fever is an elevated body temperature, usually a sign of infection or illness."
Headache,"Headache is pain or discomfort in the head or neck area, which can vary in intensity."
Muscle Fatigue,"Muscle fatigue is a feeling of tiredness or weakness in the muscles, often after physical exertion."
Flu,"Flu (influenza) is a viral respiratory infection causing high fever, cough, and body aches."
Food Poisoning,"Food poisoning is an illness caused by consuming contaminated food, leading to nausea, vomiting, and diarrhea."
COVID-Like Illness,"COVID-like illness presents with symptoms similar to COVID-19, such as fever, cough, and fatigue, though it may have a different cause."
Sinusitis,"Sinusitis is an inflammation of the sinuses that causes congestion, facial pain, and headache."
Allergic Rhinitis,"Allergic rhinitis is an allergic reaction that affects the nose, leading to sneezing, itching, and a runny nose."
Strep Throat,"Strep throat is a bacterial infection that causes a sore, scratchy throat and is often accompanied by fever."
Tonsillitis,"Tonsillitis is an inflammation of the tonsils that causes throat pain, difficulty swallowing, and sometimes fever."
Anemia,"Anemia is a condition marked by a shortage of red blood cells, leading to fatigue and weakness."
Bronchitis,"Bronchitis is the inflammation of the bronchial tubes, causing cough, mucus production, and breathing difficulties."
Dehydration,"Dehydration occurs when the body loses more fluids than it takes in, causing thirst and fatigue."
Heat Exhaustion,"Heat exhaustion is a heat-related illness marked by heavy sweating, weakness, and dizziness after prolonged exposure to high temperatures."
Insomnia,"Insomnia is a sleep disorder where people have trouble falling or staying asleep."
Anxiety Disorder,"An anxiety disorder is characterized by persistent and excessive worry or fear that interferes with daily life."
Food Allergy,"Food allergy is an immune system reaction that occurs soon after eating a particular food, causing symptoms like itching or swelling."
Lactose Intolerance,"Lactose intolerance is a digestive disorder where the body cannot break down lactose, leading to bloating, gas, and diarrhea."
Acid Reflux,"Acid reflux occurs when stomach acid flows back into the esophagus, causing heartburn and discomfort."
